stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station
5032,,"Ulbrokas vidusskola",,56.92910,24.32064,https://saraksti.rigassatiksme.lv,,
5003,,"11.novembra krastmala",,56.94577,24.10541,https://saraksti.rigassatiksme.lv,,
1025a,,"13.janvāra iela",,56.94543,24.11311,https://saraksti.rigassatiksme.lv,,
1025b,,"13.janvāra iela",,56.94571,24.11373,https://saraksti.rigassatiksme.lv,,
1025,,"13.janvāra iela",,56.94562,24.11349,https://saraksti.rigassatiksme.lv,,
1251a,,"Autoosta",,56.94639,24.11635,https://saraksti.rigassatiksme.lv,,
1251b,,"Autoosta",,56.94621,24.11589,https://saraksti.rigassatiksme.lv,,
0529,,"Jaunciema 8.šķērslīnija",,57.03792,24.18472,https://saraksti.rigassatiksme.lv,,
0173,,"Jaunciema kapi",,57.04154,24.18861,https://saraksti.rigassatiksme.lv,,
2038,,"Aristida Briāna iela",,56.96286,24.12589,https://saraksti.rigassatiksme.lv,,
2032,,"K.Valdemāra iela",,56.96291,24.12541,https://saraksti.rigassatiksme.lv,,
2039,,"Miera iela",,56.96539,24.13254,https://saraksti.rigassatiksme.lv,,
0003,,"A.Čaka iela",,56.96361,24.14962,https://saraksti.rigassatiksme.lv,,
0148,,"Ģertrūdes iela",,56.95331,24.13095,https://saraksti.rigassatiksme.lv,,
2063,,"Ģertrūdes iela",,56.95368,24.13135,https://saraksti.rigassatiksme.lv,,
0273,,"Matīsa iela",,56.95627,24.13644,https://saraksti.rigassatiksme.lv,,
0270,,"Matīsa iela",,56.95644,24.13652,https://saraksti.rigassatiksme.lv,,
0345,,"Pērnavas iela",,56.96325,24.14959,https://saraksti.rigassatiksme.lv,,
0470,,"Tallinas iela",,56.95896,24.14143,https://saraksti.rigassatiksme.lv,,
0469,,"Tallinas iela",,56.95934,24.14196,https://saraksti.rigassatiksme.lv,,
5342,,"A.Saharova iela",,56.94603,24.20855,https://saraksti.rigassatiksme.lv,,
5343,,"A.Saharova iela",,56.94664,24.20523,https://saraksti.rigassatiksme.lv,,
5035a,,"Baltinavas iela",,56.94320,24.23254,https://saraksti.rigassatiksme.lv,,
5036a,,"Baltinavas iela",,56.94340,24.23110,https://saraksti.rigassatiksme.lv,,
0090,,"Dārzciema iela",,56.94944,24.18412,https://saraksti.rigassatiksme.lv,,
5088,,"Dārzciema iela",,56.94890,24.18737,https://saraksti.rigassatiksme.lv,,
0098,,"Daugavas stadions",,56.95332,24.15537,https://saraksti.rigassatiksme.lv,,
5090,,"Daugavas stadions",,56.95328,24.15477,https://saraksti.rigassatiksme.lv,,
5140,,"Ilūkstes iela",,56.94743,24.19842,https://saraksti.rigassatiksme.lv,,
5141,,"Ilūkstes iela",,56.94810,24.19430,https://saraksti.rigassatiksme.lv,,
9095,,"Kaivas iela",,56.94399,24.24039,https://saraksti.rigassatiksme.lv,,
9096,,"Kaivas iela",,56.94413,24.23991,https://saraksti.rigassatiksme.lv,,
5197,,"Liepiņas",,56.94422,24.22229,https://saraksti.rigassatiksme.lv,,
5198,,"Liepiņas",,56.94460,24.22103,https://saraksti.rigassatiksme.lv,,
0310,,"Nīcgales iela",,56.95110,24.17079,https://saraksti.rigassatiksme.lv,,
0308,,"Nīcgales iela",,56.95101,24.17224,https://saraksti.rigassatiksme.lv,,
9100,,"Ulbrokas iela 13",,56.94587,24.21135,https://saraksti.rigassatiksme.lv,,
9101,,"Ulbrokas iela 13",,56.94541,24.21344,https://saraksti.rigassatiksme.lv,,
7990,,"Viršu iela",,56.95023,24.17745,https://saraksti.rigassatiksme.lv,,
7991,,"Viršu iela",,56.95041,24.17666,https://saraksti.rigassatiksme.lv,,
0218,,"Kreimeņu iela",,57.03605,24.09705,https://saraksti.rigassatiksme.lv,,
0255,,"Kultūras pils ""Ziemeļblāzma""",,57.03509,24.10036,https://saraksti.rigassatiksme.lv,,
0254,,"Martas Rinkas iela",,57.03446,24.10240,https://saraksti.rigassatiksme.lv,,
0283,,"Melīdas iela",,57.03227,24.10902,https://saraksti.rigassatiksme.lv,,
0282,,"Melīdas iela",,57.03157,24.10997,https://saraksti.rigassatiksme.lv,,
5456,,"A.Deglava iela",,56.94483,24.20657,https://saraksti.rigassatiksme.lv,,
5470,,"A.Saharova iela",,56.94396,24.20571,https://saraksti.rigassatiksme.lv,,
5455,,"Brāļu Kaudzīšu iela",,56.94170,24.20522,https://saraksti.rigassatiksme.lv,,
5471,,"Brāļu Kaudzīšu iela",,56.94074,24.20434,https://saraksti.rigassatiksme.lv,,
0493,,"Pavasara gatve",,56.93406,24.20199,https://saraksti.rigassatiksme.lv,,
0492,,"Pavasara gatve",,56.93297,24.20106,https://saraksti.rigassatiksme.lv,,
0394,,"Rudens iela",,56.93786,24.20314,https://saraksti.rigassatiksme.lv,,
0393,,"Rudens iela",,56.93727,24.20334,https://saraksti.rigassatiksme.lv,,
5042,,"Beberbeķi",,56.92393,23.91408,https://saraksti.rigassatiksme.lv,,
5041,,"Beberbeķi",,56.92820,23.91613,https://saraksti.rigassatiksme.lv,,
1550,,"Ceļš uz Vārnukrogu",,56.95976,23.95258,https://saraksti.rigassatiksme.lv,,
5081,,"Dabas parks",,56.93667,23.91854,https://saraksti.rigassatiksme.lv,,
5080,,"Dabas parks",,56.93688,23.91910,https://saraksti.rigassatiksme.lv,,
4131,,"Pagrieziens uz Piņķiem",,56.94603,23.92306,https://saraksti.rigassatiksme.lv,,
4132,,"Pagrieziens uz Piņķiem",,56.94404,23.92294,https://saraksti.rigassatiksme.lv,,
1297,,"Bauskas šoseja",,56.88223,24.15917,https://saraksti.rigassatiksme.lv,,
5323,,"Rāmava",,56.88995,24.14813,https://saraksti.rigassatiksme.lv,,
5324,,"Rāmava",,56.89064,24.14867,https://saraksti.rigassatiksme.lv,,
6445,,"Titurga",,56.88175,24.15953,https://saraksti.rigassatiksme.lv,,
7749a,,"Abrenes iela",,56.94608,24.13020,https://saraksti.rigassatiksme.lv,,
7749,,"Abrenes iela",,56.94610,24.12994,https://saraksti.rigassatiksme.lv,,
7749b,,"Abrenes iela",,56.94607,24.13052,https://saraksti.rigassatiksme.lv,,
7749c,,"Abrenes iela",,56.94607,24.13079,https://saraksti.rigassatiksme.lv,,
7749d,,"Abrenes iela",,56.94609,24.13124,https://saraksti.rigassatiksme.lv,,
1613,,"Bukulti",,57.02085,24.25880,https://saraksti.rigassatiksme.lv,,
1668,,"Lejasvīganti",,57.00675,24.26126,https://saraksti.rigassatiksme.lv,,
1669,,"Lejasvīganti",,57.00672,24.26116,https://saraksti.rigassatiksme.lv,,
2045,,"Āgenskalna iela",,56.94591,24.06205,https://saraksti.rigassatiksme.lv,,
2046,,"Āgenskalna priedes",,56.94459,24.05949,https://saraksti.rigassatiksme.lv,,
2094,,"Aizkraukles iela",,56.97558,24.18760,https://saraksti.rigassatiksme.lv,,
2099,,"Aizkraukles iela",,56.97530,24.18336,https://saraksti.rigassatiksme.lv,,
2093,,"Linezers",,56.97710,24.19293,https://saraksti.rigassatiksme.lv,,
0032,,"Bākas iela",,57.05224,24.06924,https://saraksti.rigassatiksme.lv,,
0031,,"Bākas iela",,57.05202,24.06830,https://saraksti.rigassatiksme.lv,,
1072,,"Anniņmuižas bulvāris",,56.95990,24.01233,https://saraksti.rigassatiksme.lv,,
1085,,"Anniņmuižas bulvāris",,56.96003,24.01380,https://saraksti.rigassatiksme.lv,,
1077,,"Anniņmuižas parks",,56.95402,24.00860,https://saraksti.rigassatiksme.lv,,
1084,,"Anniņmuižas parks",,56.95538,24.00893,https://saraksti.rigassatiksme.lv,,
1071,,"Kleistu iela",,56.96024,24.01804,https://saraksti.rigassatiksme.lv,,
1086,,"Kleistu iela",,56.95885,24.02189,https://saraksti.rigassatiksme.lv,,
1433,,"P.Lejiņa iela",,56.94699,24.01210,https://saraksti.rigassatiksme.lv,,
1432,,"Priedaines iela",,56.94300,24.01762,https://saraksti.rigassatiksme.lv,,
